item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB4419689719,N/D,Pastilha Traseira Brembo Subaru Forester 2008 2009 2010,N/D,N/D,SEM_MATCH_SECONDS,329.25,1,1.0
MLB4347505713,N/D,Jogo Bronzina De Biela Fiat Fiorino 1.0 1.3 1.5 8v Fiasa,N/D,N/D,SEM_MATCH_SECONDS,326.28000000000003,6,6.0
MLB4197780255,N/D,Par Amortecedor Nakata Kit Dianteiro Gol Parati G2 G3 G4,N/D,N/D,SEM_MATCH_SECONDS,317.16,1,1.0
MLB4209368801,OCDA2204,Pastilha Freio Kicks Advance Xtronic 1.6 16v 2021 Em Diante,OriginALLparts,Pastilhas de Freios,PARAMETRO_NAO_CONFIAVEL,303.98,1,1.0
MLB4460837867,N/D,Junta Tampa Válvulas Bastos Nissan Frontier Pathfinder 2.5,N/D,N/D,SEM_MATCH_SECONDS,297.66,1,1.0
MLB5933712696,10.015A,Calha De Chuva Fumê Focus Hatch 2010 A 2013 4 Portas,Ecoflex,Calhas,PARAMETRO_NAO_CONFIAVEL,294.68,1,1.0
MLB4211153417,OSDA2053,Pastilha Freio Sprinter 515 2.2 16v 12 13 14 15 16 17 18 19,OriginALLparts,Pastilhas de Freios,PARAMETRO_NAO_CONFIAVEL,286.52,1,1.0
MLB6143677180,N/D,Jogo Junta Motor Sem Retentor  Corsa 1.0 16v 99/03,N/D,N/D,SEM_MATCH_SECONDS,281.55,2,2.0
MLB5551943468,N/D,Bandeja Superior Direita Belina Corcel Del Rey Pampa,N/D,N/D,SEM_MATCH_SECONDS,280.08,2,2.0
MLB5018697386,N/D,Silicone Alta Temperatura Red ( Vermelho ) - Bastos,N/D,N/D,SEM_MATCH_SECONDS,277.95,3,13.0
MLB4216711631,OCDA2054,Pastilha Freio Classe C (w205) C200 Eq Boost 18 19 20 21,OriginALLparts,Pastilhas de Freios,PARAMETRO_NAO_CONFIAVEL,275.05,1,1.0
MLB5731674286,N/D,Pastilha Freio C-class T-model C 320 Cdi 2007 A 2014,N/D,N/D,SEM_MATCH_SECONDS,273.77,1,1.0
MLB4375252331,N/D,"Kit 6 Aditivo Otimizador Combustivel Flex 4x1 Fq4, Economia",N/D,N/D,SEM_MATCH_SECONDS,272.0,2,2.0
MLB4216678629,N/D,Pastilha Freio Slk (r172) 200 (172.434) 2015 Em Diante,N/D,N/D,SEM_MATCH_SECONDS,265.56,1,1.0
MLB6224283162,N/D,Junta Cabeçote Aço Inox Sob Medida 1.01mm March Versa 14/21,N/D,N/D,SEM_MATCH_SECONDS,264.17,1,1.0
MLB4463792827,1212164PK,Jogo Junta Superior Cabeçote Motor Cruze 1.8 16v 2012/2016,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,259.41,1,1.0
